model_id,interval_count,train_start_year,train_end_year,antecedent_state,consequent_states,consequent_counts,transition_count,forecast_yield,defuzzification
chen_equal_k5,5,1961,2023,A1,A1;A2,A1:13;A2:5,18,0.2493633333333333,frequency_weighted_midpoint
chen_equal_k5,5,1961,2023,A2,A2;A1;A3;A4,A2:11;A1:4;A3:2;A4:1,18,0.30704,frequency_weighted_midpoint
chen_equal_k5,5,1961,2023,A3,A3;A2;A4,A3:8;A2:2;A4:2,12,0.3869,frequency_weighted_midpoint
chen_equal_k5,5,1961,2023,A4,A3;A5,A3:2;A5:1,3,0.44014,frequency_weighted_midpoint
chen_equal_k5,5,1961,2023,A5,A5,A5:11,11,0.54662,frequency_weighted_midpoint
chen_equal_k7,7,1961,2023,A1,A1;A2;A3,A1:10;A2:2;A3:1,13,0.2333230769230769,frequency_weighted_midpoint
chen_equal_k7,7,1961,2023,A2,A2;A3;A1,A2:12;A3:4;A1:1,17,0.2828806722689075,frequency_weighted_midpoint
chen_equal_k7,7,1961,2023,A3,A2;A5;A1;A4,A2:2;A5:2;A1:1;A4:1,6,0.3393642857142856,frequency_weighted_midpoint
chen_equal_k7,7,1961,2023,A4,A5;A4;A2,A5:4;A4:3;A2:1,8,0.4011607142857142,frequency_weighted_midpoint
chen_equal_k7,7,1961,2023,A5,A4;A3;A5;A7,A4:4;A3:1;A5:1;A7:1,7,0.4113469387755102,frequency_weighted_midpoint
chen_equal_k7,7,1961,2023,A6,A6;A7,A6:6;A7:1,7,0.5091346938775511,frequency_weighted_midpoint
chen_equal_k7,7,1961,2023,A7,A7;A6,A7:3;A6:1,4,0.5437678571428571,frequency_weighted_midpoint
chen_equal_k9,9,1961,2023,A1,A1;A2;A3,A1:6;A2:2;A3:1,9,0.22915185185185186,frequency_weighted_midpoint
chen_equal_k9,9,1961,2023,A2,A2;A3;A1;A4,A2:4;A3:3;A1:2;A4:1,10,0.26711,frequency_weighted_midpoint
chen_equal_k9,9,1961,2023,A3,A3;A2;A4;A1,A3:7;A2:3;A4:2;A1:1,13,0.2879282051282051,frequency_weighted_midpoint
chen_equal_k9,9,1961,2023,A4,A6;A3;A5,A6:3;A3:1;A5:1,5,0.39577333333333337,frequency_weighted_midpoint
chen_equal_k9,9,1961,2023,A5,A5;A6;A3,A5:3;A6:3;A3:1,7,0.39323809523809533,frequency_weighted_midpoint
chen_equal_k9,9,1961,2023,A6,A5;A4;A6;A9,A5:3;A4:2;A6:1;A9:1,7,0.4059142857142857,frequency_weighted_midpoint
chen_equal_k9,9,1961,2023,A8,A8;A9,A8:7;A9:1,8,0.5255458333333334,frequency_weighted_midpoint
chen_equal_k9,9,1961,2023,A9,A9;A8,A9:2;A8:1,3,0.5495777777777778,frequency_weighted_midpoint
chen_equal_k11,11,1961,2023,A1,A2;A1,A2:3;A1:2,5,0.22718000000000002,frequency_weighted_midpoint
chen_equal_k11,11,1961,2023,A10,A10;A11;A9,A10:5;A11:1;A9:1,7,0.5321,frequency_weighted_midpoint
chen_equal_k11,11,1961,2023,A11,A11,A11:1,1,0.5684,frequency_weighted_midpoint
chen_equal_k11,11,1961,2023,A2,A2;A1;A3;A4;A5,A2:5;A1:3;A3:3;A4:1;A5:1,13,0.25566153846153844,frequency_weighted_midpoint
chen_equal_k11,11,1961,2023,A3,A3;A2;A4,A3:5;A2:3;A4:2,10,0.27437,frequency_weighted_midpoint
chen_equal_k11,11,1961,2023,A4,A5;A2;A3;A4,A5:2;A2:1;A3:1;A4:1,5,0.30704000000000004,frequency_weighted_midpoint
chen_equal_k11,11,1961,2023,A5,A7;A3;A6,A7:3;A3:1;A6:1,5,0.3869,frequency_weighted_midpoint
chen_equal_k11,11,1961,2023,A6,A6;A7;A4;A8,A6:2;A7:2;A4:1;A8:1,6,0.399,frequency_weighted_midpoint
chen_equal_k11,11,1961,2023,A7,A5;A6;A10;A7,A5:2;A6:2;A10:1;A7:1,6,0.4050500000000001,frequency_weighted_midpoint
chen_equal_k11,11,1961,2023,A8,A6,A6:1,1,0.3869,frequency_weighted_midpoint
chen_equal_k11,11,1961,2023,A9,A9;A10,A9:2;A10:1,3,0.5079,frequency_weighted_midpoint
