evaluation_view,metric,baseline_naive_value,baseline_arima_aic_value,best_level_model_id,best_level_value,best_correction_model_id,best_correction_value,level_minus_naive,correction_minus_naive,gap_reduction_percent,correction_beats_naive,correction_beats_arima_aic
overall,mae,0.031664711470588226,0.03381405420730822,chen_equal_k11,0.033753758771078425,chen_change_adaptive_k9_w100,0.029492879336056637,0.002089047300490199,-0.0021718321345315893,203.96280323676564,True,True
overall,rmse,0.04420847127099473,0.045830426338629895,chen_equal_k11,0.049463591973498665,chen_change_adaptive_k9_w100,0.04151550196593178,0.005255120702503932,-0.0026929693050629505,151.2446708175479,True,True
overall,smape,8.022277429644118,8.590254936501282,chen_equal_k11,8.579671655115188,chen_change_adaptive_k9_w100,7.595734192687811,0.5573942254710698,-0.4265432369563076,176.52451666427362,True,True
overall,mase,0.989754833542494,1.0547729032987747,chen_equal_k11,1.0412044684714352,chen_change_adaptive_k9_w100,0.9237490714796452,0.05144963492894117,-0.0660057620628488,228.29199304137262,True,True
high_volatility,mae,0.07425556333333333,0.07382015206282938,chen_adaptive_k9,0.056439546880658456,chen_change_adaptive_k9_w100,0.05734998308539094,-0.017816016452674874,-0.016905580247942392,-5.11021196658016,True,True
high_volatility,rmse,0.07743931439090761,0.07934032323524244,chen_adaptive_k9,0.07563191253288284,chen_change_adaptive_k9_w100,0.0673157564532637,-0.0018074018580247625,-0.010123557937643912,460.1166056511387,True,True
high_volatility,smape,19.33520799690423,19.330418257872246,chen_adaptive_k9,14.269969781393295,chen_change_adaptive_k9_w100,14.63840462584897,-5.065238215510936,-4.69680337105526,-7.2737910593709625,True,True
high_volatility,mase,2.3522750734798854,2.333010184739038,chen_adaptive_k9,1.7452248653101634,chen_change_adaptive_k9_w100,1.8426431948006785,-0.607050208169722,-0.5096318786792069,-16.047820786395054,True,True
normal_volatility,mae,0.016332004799999994,0.0194118589793206,chen_equal_k5,0.02008898782645129,chen_change_equal_k7_w050,0.016713266753583526,0.0037569830264512945,0.0003812619535835324,89.85191173611295,False,True
normal_volatility,rmse,0.022340632911374732,0.02429861662340882,chen_equal_k5,0.023847595546940152,chen_change_equal_k7_w050,0.021990698596017655,0.0015069626355654203,-0.0003499343153570769,123.22116734007673,True,True
normal_volatility,smape,3.949622425430476,4.723796140807733,chen_equal_k5,4.828421814282248,chen_change_equal_k7_w050,4.3050123485412275,0.8787993888517724,0.35538992311075157,59.55960738945219,False,True
normal_volatility,mase,0.49924754716503295,0.5946074819802799,chen_equal_k5,0.6167482237218672,chen_change_equal_k7_w050,0.5083852241206589,0.11750067655683427,0.00913767695562595,92.2232984324936,False,True
